"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","2.004 K"
"smss.exe","424","Services","0","368 K"
"csrss.exe","676","Services","0","2.628 K"
"wininit.exe","796","Services","0","2.580 K"
"services.exe","872","Services","0","5.576 K"
"lsass.exe","880","Services","0","12.340 K"
"svchost.exe","440","Services","0","800 K"
"svchost.exe","484","Services","0","18.720 K"
"fontdrvhost.exe","604","Services","0","404 K"
"svchost.exe","1088","Services","0","9.540 K"
"svchost.exe","1136","Services","0","13.492 K"
"svchost.exe","1292","Services","0","4.996 K"
"svchost.exe","1428","Services","0","8.912 K"
"svchost.exe","1448","Services","0","4.208 K"
"svchost.exe","1476","Services","0","5.012 K"
"svchost.exe","1552","Services","0","1.688 K"
"svchost.exe","1584","Services","0","5.776 K"
"svchost.exe","1656","Services","0","3.740 K"
"vsserv.exe","1692","Services","0","188.500 K"
"svchost.exe","1780","Services","0","8.024 K"
"svchost.exe","1808","Services","0","10.704 K"
"svchost.exe","1880","Services","0","5.412 K"
"svchost.exe","1988","Services","0","4.448 K"
"NVDisplay.Container.exe","2028","Services","0","6.368 K"
"svchost.exe","1828","Services","0","1.756 K"
"svchost.exe","1164","Services","0","5.520 K"
"svchost.exe","2056","Services","0","3.364 K"
"svchost.exe","2148","Services","0","3.468 K"
"svchost.exe","2288","Services","0","4.060 K"
"svchost.exe","2360","Services","0","4.092 K"
"svchost.exe","2376","Services","0","2.248 K"
"svchost.exe","2420","Services","0","7.972 K"
"svchost.exe","2484","Services","0","2.476 K"
"svchost.exe","2656","Services","0","2.848 K"
"svchost.exe","2712","Services","0","2.740 K"
"svchost.exe","2768","Services","0","7.104 K"
"svchost.exe","2804","Services","0","5.520 K"
"svchost.exe","2852","Services","0","2.224 K"
"svchost.exe","2860","Services","0","4.240 K"
"svchost.exe","3032","Services","0","8.416 K"
"svchost.exe","3064","Services","0","8.836 K"
"svchost.exe","3084","Services","0","5.596 K"
"spoolsv.exe","3176","Services","0","3.016 K"
"svchost.exe","3496","Services","0","2.752 K"
"mDNSResponder.exe","3508","Services","0","3.348 K"
"armsvc.exe","3516","Services","0","1.144 K"
"HeciServer.exe","3524","Services","0","1.000 K"
"svchost.exe","3536","Services","0","8.076 K"
"IpOverUsbSvc.exe","3552","Services","0","1.944 K"
"svchost.exe","3560","Services","0","1.912 K"
"svchost.exe","3572","Services","0","15.432 K"
"svchost.exe","3584","Services","0","28.944 K"
"svchost.exe","3592","Services","0","2.680 K"
"svchost.exe","3604","Services","0","11.436 K"
"nvcontainer.exe","3616","Services","0","10.036 K"
"svchost.exe","3660","Services","0","5.904 K"
"NvTelemetryContainer.exe","3668","Services","0","5.380 K"
"SecurityHealthService.exe","3708","Services","0","6.304 K"
"TCPSVCS.EXE","3720","Services","0","1.020 K"
"svchost.exe","3728","Services","0","3.884 K"
"snmp.exe","3752","Services","0","1.992 K"
"sqlwriter.exe","3776","Services","0","1.484 K"
"svchost.exe","3796","Services","0","6.308 K"
"svchost.exe","3824","Services","0","9.696 K"
"svchost.exe","3832","Services","0","1.708 K"
"updatesrv.exe","3852","Services","0","13.364 K"
"svchost.exe","3900","Services","0","11.636 K"
"vsservp.exe","3920","Services","0","2.772 K"
"WPSHWPBC.exe","3928","Services","0","1.564 K"
"svchost.exe","3956","Services","0","2.700 K"
"dasHost.exe","4208","Services","0","6.116 K"
"svchost.exe","4272","Services","0","7.420 K"
"vmware-usbarbitrator64.exe","4292","Services","0","1.840 K"
"vmware-authd.exe","4472","Services","0","3.936 K"
"Memory Compression","4512","Services","0","454.412 K"
"svchost.exe","5312","Services","0","4.580 K"
"svchost.exe","5396","Services","0","2.508 K"
"svchost.exe","5432","Services","0","3.452 K"
"svchost.exe","3172","Services","0","6.200 K"
"svchost.exe","2700","Services","0","3.632 K"
"svchost.exe","6212","Services","0","4.988 K"
"svchost.exe","6992","Services","0","11.040 K"
"svchost.exe","6112","Services","0","11.208 K"
"GoogleCrashHandler.exe","2868","Services","0","48 K"
"GoogleCrashHandler64.exe","3048","Services","0","4 K"
"SearchIndexer.exe","4948","Services","0","78.708 K"
"WmiPrvSE.exe","8404","Services","0","18.484 K"
"audiodg.exe","12300","Services","0","16.072 K"
"svchost.exe","14480","Services","0","9.696 K"
"IAStorDataMgrSvc.exe","14660","Services","0","13.760 K"
"jhi_service.exe","14728","Services","0","968 K"
"LMS.exe","14756","Services","0","1.888 K"
"svchost.exe","14888","Services","0","7.116 K"
"svchost.exe","14956","Services","0","3.260 K"
"svchost.exe","11224","Services","0","10.692 K"
"svchost.exe","8720","Services","0","3.768 K"
"svchost.exe","10524","Services","0","12.136 K"
"svchost.exe","10244","Services","0","2.076 K"
"svchost.exe","10920","Services","0","2.920 K"
"svchost.exe","8756","Services","0","1.076 K"
"svchost.exe","9596","Services","0","4.348 K"
"svchost.exe","4968","Services","0","3.868 K"
"svchost.exe","15768","Services","0","3.828 K"
"svchost.exe","14092","Services","0","2.404 K"
"ProductAgentService.exe","5600","Services","0","15.332 K"
"svchost.exe","8220","Services","0","19.440 K"
"jenkins.exe","7020","Services","0","15.876 K"
"java.exe","11564","Services","0","56.860 K"
"conhost.exe","10304","Services","0","6.324 K"
"csrss.exe","1012","Console","16","5.444 K"
"winlogon.exe","8468","Console","16","10.496 K"
"fontdrvhost.exe","1776","Console","16","6.332 K"
"dwm.exe","13612","Console","16","52.052 K"
"NVDisplay.Container.exe","9080","Console","16","21.592 K"
"svchost.exe","8528","Services","0","6.216 K"
"nvcontainer.exe","9724","Console","16","28.048 K"
"sihost.exe","14420","Console","16","26.568 K"
"svchost.exe","8476","Console","16","16.784 K"
"svchost.exe","12792","Console","16","26.604 K"
"explorer.exe","9996","Console","16","102.056 K"
"taskhostw.exe","6064","Console","16","22.296 K"
"ShellExperienceHost.exe","12944","Console","16","65.660 K"
"RuntimeBroker.exe","1076","Console","16","60.372 K"
"nvtray.exe","11220","Console","16","11.968 K"
"dllhost.exe","6816","Console","16","10.592 K"
"Spotify.exe","7480","Console","16","109.736 K"
"Spotify.exe","13972","Console","16","17.160 K"
"Spotify.exe","10804","Console","16","58.176 K"
"MSASCuiL.exe","8604","Console","16","8.792 K"
"SpotifyWebHelper.exe","12244","Console","16","9.712 K"
"RAVCpl64.exe","13620","Console","16","12.132 K"
"Spotify.exe","13128","Console","16","288.368 K"
"OneDrive.exe","14648","Console","16","32.528 K"
"CCleaner64.exe","11268","Console","16","3.256 K"
"wallpaper64.exe","16360","Console","16","83.608 K"
"webwallpaper32.exe","2592","Console","16","32.428 K"
"nvspcaps64.exe","9876","Console","16","31.512 K"
"webwallpaper32.exe","12988","Console","16","32.524 K"
"jusched.exe","4024","Console","16","13.408 K"
"SkypeHost.exe","13560","Console","16","11.768 K"
"nvsphelper64.exe","15236","Console","16","11.168 K"
"NVIDIA Share.exe","328","Console","16","44.616 K"
"NVIDIA Share.exe","9424","Console","16","39.864 K"
"NVIDIA Web Helper.exe","5248","Console","16","33.296 K"
"conhost.exe","9804","Console","16","5.536 K"
"bdagent.exe","1332","Console","16","11.052 K"
"IAStorIcon.exe","12504","Console","16","36.808 K"
"svchost.exe","16040","Console","16","31.272 K"
"SettingSyncHost.exe","10700","Console","16","6.608 K"
"webwallpaper32.exe","4544","Console","16","32.292 K"
"ApplicationFrameHost.exe","5440","Console","16","34.292 K"
"WinStore.App.exe","10676","Console","16","73.284 K"
"SystemSettings.exe","10132","Console","16","47.520 K"
"Microsoft.Photos.exe","7344","Console","16","83.292 K"
"svchost.exe","15592","Services","0","19.600 K"
"WinUAPEntry.exe","1816","Console","16","63.372 K"
"SearchUI.exe","12684","Console","16","134.240 K"
"explorer.exe","10332","Console","16","71.196 K"
"vivaldi.exe","10816","Console","16","109.656 K"
"vivaldi.exe","820","Console","16","9.480 K"
"vivaldi.exe","15632","Console","16","85.092 K"
"vivaldi.exe","15564","Console","16","191.484 K"
"vivaldi.exe","10924","Console","16","77.216 K"
"vivaldi.exe","16136","Console","16","69.116 K"
"vivaldi.exe","5380","Console","16","86.592 K"
"vivaldi.exe","3392","Console","16","73.872 K"
"SearchProtocolHost.exe","13064","Services","0","13.640 K"
